College Name,City
Vijaya Engineering College,Khammam
VREC Nizamabad - Vijay Rural Engineering College,Nizamabad
Vijay Institute of Technology and Science,Nizamabad
VIIT Visakhapatnam - Vignan's Institute of Information Technology,Visakhapatnam
VIF College of Engineering and Technology,Moinabad
Vidyabharti Trust Institute of Technology and Research Centre,Surat
Farah Institute of Technology,Chevella
VVIET Mysore - Vidya Vikas Institute of Engineering and Technology,Mysore
Vidhyapeeth Institute of Science and Technology,Bhopal
VCET Madurai - Velammal College of Engineering and Technology,Madurai
Veerappa Nisty Engineering College,Shorapur
Vedhantha Institute of Technology,Villupuram
Varuvan Vadivelan Institute of Technology,Dharmapuri
Valia Koonambaikulathamma College of Engineering and Technology,Trivandrum
Vaishno College of Engineering,Kangra
Vaishnavi Institute of Technology,Tirupati
VS Lakshmi Engineering College for Women,Kakinada
VP Muthaiah Pillai Meenakshi Ammal Engineering College for Women,Srivilliputtur
UIT Dehradun - Uttaranchal Institute of Technology,Dehradun
Usha Mittal Institute of Technology,Mumbai
UVCE Bangalore - University Visvesvaraya College of Engineering,Bangalore
UICT Jalgaon - University Institute of Chemical Technology Kavayitri Bahinabai Chaudhari North Maharashtra University,Jalgaon
University College of Engineering,Kariavattom
UCET Guntur - Universal College of Engineering and Technology,Guntur
UEC Ujjain - Ujjain Engineering College,Ujjain
Udaya School of Engineering,Kanyakumari
Sagar Institute of Research and Technology,Indore
TRR Engineering College,Patancheru
TRR College of Engineering and Technology,Patancheru
SRM TRP Engineering College,Tiruchirappalli
Tripura Institute of Technology,Agartala
Trinity College of Engineering,Thiruvananthapuram
Trinity College of Engineering and Research,Pune
Tontadarya College of Engineering,Gadag
Thirumalai Engineering College,Kancheepuram
The Vazir Sultan College of Engineering,Khammam
Thamirabharani Engineering College,Tirunelveli
Tejaa Shakthi Institute of Technology for Women,Coimbatore
Teegala Krishna Reddy Engineering College,Hyderabad
TERII Kurukshetra - Technology Education and Research Institute,Kurukshetra
Tamizhan College of Engineering and Technology,Kanyakumari
Tamilnadu College of Engineering,Coimbatore
Tagore Institute of Engineering and Technology,Salem
Smt Rajshree Mulak College of Engineering for Women,Nagpur
Syed Hashim College of Science and Technology,Siddipet
Syed Ammal Engineering College,Ramanathapuram
SVIST Kolkata - Swami Vivekananda Institute of Science and Technology,Kolkata
Swami Vivekanand Institute of Technology,Sagar
Swami Parmanand College of Engineering and Technology,Mohali
SKIT Jaipur - Swami Keshvanand Institute of Technology Management and Gramothan,Jaipur
IIIT Hyderabad - International Institute of Information Technology,Hyderabad
NIT Patna - National Institute of Technology Patna,NULL
NIT Kurukshetra - National Institute of Technology Kurukshetra,NULL
IIT Tirupati - Indian Institute of Technology Tirupati,NULL
NSUT Delhi - Netaji Subhas University of Technology,New Delhi
MIT Manipal - Manipal Institute of Technology,Manipal
Graphic Era University,Dehradun
PSG Tech Coimbatore - PSG College of Technology,Coimbatore
SVNIT Surat - Sardar Vallabhbhai National Institute of Technology Surat,NULL
Sathyabama University - Sathyabama Institute of Science and Technology,Chennai
IIT Jammu - Indian Institute of Technology Jammu,NULL
Banasthali Vidyapith,Banasthali
IIT Palakkad - Indian Institute of Technology Palakkad,NULL
NIT Raipur - National Institute of Technology Raipur,NULL
NIT Meghalaya - National Institute of Technology Meghalaya,NULL
COEP Pune - COEP Technological University,Pune
IIIT Delhi - Indraprastha Institute of Information Technology,Delhi
Manipal University,Jaipur
SKCET Coimbatore - Sri Krishna College of Engineering and Technology,Coimbatore
MSRIT Bangalore - Ramaiah Institute of Technology,Bangalore
Rajiv Gandhi Institute of Petroleum Technology,Amethi
MANIT Bhopal - Maulana Azad National Institute of Technology Bhopal,NULL
IIT Bhilai - Indian Institute of Technology Bhilai,NULL
NIT Srinagar - National Institute of Technology Srinagar,NULL
GGSIPU Delhi - Guru Gobind Singh Indraprastha University,Delhi
Vignan's Foundation for Science Technology and Research,Guntur
Rajalakshmi Engineering College,Chennai
Vel Tech Chennai - Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology,Chennai
IIITM Gwalior - Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,NULL
